url	first_seen	portal	title	company	status
https://job-boards.greenhouse.io/hoyoverse/jobs/5104595007	2026-05-19	WebSearch — L3 Greenhouse AI	Game AI Engineer - Varsapura	HoYoverse	added
https://jobs.ashbyhq.com/hipeople-official/6c330d7b-7c6d-4993-8893-b58b5289d442	2026-05-19	WebSearch -- L3 Ashby Applied AI	Applied AI Engineer -- Systems & Reliability	HiPeople	added
https://job-boards.greenhouse.io/opaquesystems/jobs/4235505009	2026-05-19	WebSearch -- L3 Greenhouse FDE	Forward Deployed Engineer (AI)	Opaque Systems	filtered
https://sumup.com/careers/positions/8447227002?gh_jid=8447227002	2026-05-19	greenhouse-api	Onboarding Agent II	SumUp	filtered
https://job-boards.eu.greenhouse.io/physicsx/jobs/4789348101	2026-05-19	greenhouse-api	Forward Deployed Applications - Software Engineer	PhysicsX	processed
https://ml6team.recruitee.com/o/machine-learning-engineer-1	2026-05-20	WebSearch — L3 Recruitee EU	Machine Learning Engineer	ML6	dead
https://job-boards.eu.greenhouse.io/physicsx/jobs/4860241101	2026-05-20	greenhouse-api	Forward Deployed Software Engineer	PhysicsX	processed
https://jobs.ashbyhq.com/cohere/2d256112-b336-4539-8133-a0bf7f6698f0	2026-05-20	WebSearch — L3 Ashby FDE	Forward Deployed Engineer, Agentic Platform (UK/Europe)	Cohere	processed
https://job-boards.eu.greenhouse.io/polyai/jobs/4855037101	2026-05-20	WebSearch — L3 Greenhouse FDE	Forward Deployed AI Engineer	PolyAI	processed
https://openai.com/careers/forward-deployed-engineer-singapore-singapore/	2026-05-21	WebSearch -- L3 APAC 2026-05-21	Forward Deployed Engineer	OpenAI	dead
https://openai.com/careers/forward-deployed-engineer-tokyo-tokyo-japan/	2026-05-21	WebSearch -- L3 APAC 2026-05-21	Forward Deployed Engineer	OpenAI	dead
https://www.ycombinator.com/companies/peakflo/jobs/vIrPzMj-forward-deployed-engineer-fde-india-remote	2026-05-21	WebSearch -- L3 YC India 2026-05-21	Forward Deployed Engineer (FDE)	Peakflo	processed
https://jobs.ashbyhq.com/cartesia/6d860f5a-b9d9-4df2-b5e5-b12ac80632a4	2026-05-21	WebSearch -- L3 Ashby India 2026-05-21	Forward Deployed Engineer (India)	Cartesia	processed
https://job-boards.greenhouse.io/neuraflash/jobs/5583031004	2026-05-21	WebSearch -- L3 Greenhouse India 2026-05-21	Forward Deployed Engineer (Agentforce)	NeuraFlash	dead
https://job-boards.eu.greenhouse.io/cambridgeconsultantslimited/jobs/4700402101	2026-05-21	WebSearch L3 EU Greenhouse PM	Graduate AI Engineer (2026 start)	Cambridge Consultants	processed
https://job-boards.eu.greenhouse.io/yld/jobs/4644589101	2026-05-21	WebSearch L3 EU Greenhouse PM	AI Engineer	YLD	processed
https://job-boards.eu.greenhouse.io/surfai/jobs/4704150101	2026-05-21	WebSearch L3 EU Greenhouse PM	AI Engineer - AI Agents Team	Surf AI	filtered
https://jobs.ashbyhq.com/openai/07d62dc2-9bbc-4149-ba43-d4ab748a21f4	2026-05-21	WebSearch L3 Ashby overnight	Forward Deployed Software Engineer - Munich	OpenAI	processed
https://jobs.ashbyhq.com/eloquentai/b636810c-e01b-4f9b-8aed-9a0856fee42e	2026-05-21	WebSearch L3 Ashby overnight	AI Engineer London	Eloquent AI	processed
https://jobs.ashbyhq.com/airapps/594fe7b6-476b-47a6-b5cc-a352937e6542	2026-05-21	WebSearch L3 Ashby overnight	AI/ML Engineer Paris	Air Apps	processed
https://job-boards.eu.greenhouse.io/speechmatics/jobs/4658308101	2026-05-21	WebSearch L3 EU Greenhouse overnight	Forward Deployed Engineer	Speechmatics	dead
https://job-boards.eu.greenhouse.io/amdaris/jobs/4638381101	2026-05-21	WebSearch L3 EU Greenhouse overnight	AI Forward Deployed Engineer	Amdaris	dead
https://job-boards.eu.greenhouse.io/invisibletech/jobs/4639694101	2026-05-21	WebSearch L3 EU Greenhouse overnight	Software Engineer - Forward Deployed	Invisible Technologies	filtered
https://www.ycombinator.com/companies/telli/jobs/zdqC5C2-forward-deployed-engineer-ai	2026-05-21	WebSearch L3 YC overnight	Forward Deployed Engineer (AI)	telli	dead
https://jobs.ashbyhq.com/nelly/a1d054b8-6ece-4240-ad54-d4db2d0fc427	2026-05-21	WebSearch L3 Ashby overnight	Senior AI Engineer	Nelly Solutions	processed
https://job-boards.eu.greenhouse.io/polyai/jobs/4796935101	2026-05-21	WebSearch L3 EU Greenhouse overnight	Forward Deployed AI Engineer (PST timezone)	PolyAI	dead
https://careers.nordea.com/job/Helsinki-Associate-Forward-Deployed-AI-Scientist-00500/1387719933/	2026-05-21	WebSearch L3 careers.nordea.com	Associate Forward Deployed AI Scientist	Nordea Bank	dead
https://job-boards.greenhouse.io/sezzle/jobs/7633951003	2026-05-22	WebSearch — L3 Greenhouse Applied AI	AI Engineer I (Remote LATAM)	Sezzle	processed
https://job-boards.greenhouse.io/sezzle/jobs/7633956003	2026-05-22	WebSearch — L3 Greenhouse Applied AI	AI Engineer I (Bogota)	Sezzle	processed
https://job-boards.greenhouse.io/globalli/jobs/4933314007	2026-05-22	WebSearch — L3 Greenhouse Remote	AI Engineer	Globalli	dead
https://jobs.ashbyhq.com/reedsy/b043b550-02b7-416f-8969-5db8fd9dc8ee	2026-05-22	WebSearch — L3 Ashby EU	AI Engineer - Remote Europe	Reedsy	processed
https://job-boards.greenhouse.io/runpod/jobs/5082425008	2026-05-22	greenhouse	Forward Deployed Engineer (EMEA)	RunPod	dead
https://silenteight.teamtailor.com/jobs/6775552-forward-deployed-ai-engineer-llm-ml-investigations-decisioning	2026-05-22	teamtailor	Forward-Deployed AI Engineer (LLM/ML)	Silent Eight	filtered
https://jobs.ashbyhq.com/elevenlabs/d46c3fc8-b87b-4b8b-bcc2-759944f77ae5	2026-05-22	ashby	Enterprise Solutions Engineer - Germany	ElevenLabs	processed
https://job-boards.greenhouse.io/sezzle/jobs/7633985003	2026-05-22	greenhouse	AI Engineer II (Remote)	Sezzle	filtered
https://apply.workable.com/cxg/j/5ED4EB3757	2026-05-22	other	AI Engineer (GenAI, LLMs & Computer Vision)	CXG	dead
https://apply.workable.com/sidetrade/j/00A24913FD/	2026-05-22	other	AI Engineer	Sidetrade	processed
https://apply.workable.com/boardofinnovation/j/50EB96733C	2026-05-22	other	AI Engineer	Board of Innovation	processed
https://jobs.ashbyhq.com/relay/0b645cf4-3c04-41e5-a610-c46544b5cec6	2026-05-22	ashby	Forward Deployed Engineer	Relay Technologies	processed
https://job-boards.greenhouse.io/axiomaticai/jobs/4720346101	2026-05-22	greenhouse	Applied AI Engineer	Axiomatic AI	processed
https://jobs.ashbyhq.com/truelogic/02ce1aae-f344-4e10-9b47-956ad5a51714	2026-05-22	ashby	Forward Deployed Engineer (AI-native)	Truelogic	processed
https://jobs.ashbyhq.com/truelogic/cee25dcf-9a7f-474b-9724-abb510bc3968	2026-05-22	ashby	Forward Deployed Engineer (FDE) - Technology	Truelogic	processed
https://jobs.ashbyhq.com/Pivot/6294beb0-744a-40bb-a119-33978298e951	2026-05-23	WebSearch -- L3 overnight 2026-05-23	AI Engineer	Pivot	added
https://jobs.ashbyhq.com/Kallikor/13d4cf35-0aa4-4b7d-808c-bfe32808b6ed	2026-05-23	WebSearch -- L3 overnight 2026-05-23	AI/ML Engineer	Kallikor	added
https://jobs.ashbyhq.com/sarvam/2d72a541-c805-4bd9-81cd-ac2db98611fa	2026-05-23	WebSearch -- L3 overnight 2026-05-23	ML Engineer (Data), Foundational Models	Sarvam	added
https://job-boards.eu.greenhouse.io/stubhubinc/jobs/4685640101	2026-05-23	WebSearch — L3 overnight 2026-05-23	Software Engineer I - AI Platform (New Grad)	StubHub	dead
https://job-boards.eu.greenhouse.io/axiomaticai/jobs/4798988101	2026-05-23	WebSearch — L3 overnight 2026-05-23	Forward Deployed Engineer	Axiomatic_AI	added
https://job-boards.eu.greenhouse.io/yld/jobs/4653093101	2026-05-23	WebSearch — L3 overnight 2026-05-23	AI Engineer	YLD	added
https://jobs.ashbyhq.com/amigo/c2837207-23b3-46eb-81f6-292fa96a4a04	2026-05-23	WebSearch -- L3 overnight 2026-05-23	Applied AI Engineer (Contract)	Amigo	added
https://jobs.ashbyhq.com/hipeople-official/6c330d7b-7c6d-4993-8893-b58b5289d442	2026-05-23	WebSearch -- L3 overnight 2026-05-23	Applied AI Engineer Systems Reliability	HiPeople	added
https://jobs.ashbyhq.com/amigo/c2837207-23b3-46eb-81f6-292fa96a4a04	2026-05-23	WebSearch -- L3 overnight 2026-05-23	Applied AI Engineer (Contract)	Amigo	dead
